Score,Track ID,Artist,Song,Genre,Release Date,Topic_1,Topic_2,Topic_3,Feature_1,Feature_2,Feature_3
41.28978672592557,24165,kiss,shout it out loud,"[2340, 1190, 617, 47, 1265, 1754]",1976,"(1, 0.4218873758115103)","(8, 0.1559535493823805)","(4, 0.1163005760192102)","(6, 0.9569556126277416)","(2, 0.7874266082096248)","(5, 0.6084089035449298)"
41.24116064864809,24222,meat loaf,you took the words right out of my mouth (hot summer night),"[1731, 2340, 617, 2511, 47]",1977,"(1, 0.3420845858519628)","(11, 0.2891519860334217)","(6, 0.1618786367818944)","(2, 0.6892803117708893)","(6, 0.6816717398981829)","(5, 0.6764220939818631)"
41.18744441566493,7102,the charlie daniels band,the devil went down to georgia,"[617, 698, 2547, 706]",1954,"(10, 0.3428826358027182)","(1, 0.3368142147732579)","(8, 0.1585909596645492)","(5, 0.9443528441879636)","(2, 0.5900315360356895)","(6, 0.5004849000289098)"
41.17989587855274,13368,janis joplin,as good as you've been to this world,"[617, 2257, 2340, 303]",1969,"(15, 0.3170506114243918)","(2, 0.1480942404276834)","(10, 0.1248479200094526)","(6, 0.7407326435019792)","(5, 0.7310387469084912)","(2, 0.6827936312591338)"
41.07139192074038,14070,nazareth,dressed to kill,"[1731, 2340, 617, 303, 47, 1265, 1754]",1980,"(8, 0.4027631980771526)","(10, 0.1172566028045411)","(1, 0.1121417930061673)","(6, 0.9319298060159636)","(2, 0.796964336076712)","(5, 0.546578730420445)"
41.01158189990838,24484,journey,dead or alive,"[1731, 2340, 617, 47, 2511, 1265]",1981,"(8, 0.4356273350426951)","(1, 0.3035385151379058)","(2, 0.0656612417323252)","(6, 0.9799793547105776)","(2, 0.7096377201753711)","(5, 0.3250206100577081)"
41.01158189990838,24505,foreigner,woman in black,"[1731, 2340, 617, 47, 2511, 1265]",1981,"(1, 0.314133758467342)","(6, 0.2770475829653677)","(10, 0.103823270705628)","(2, 0.7557623772530317)","(6, 0.6276159976167424)","(5, 0.5692497938994229)"
40.89292407954679,14353,thin lizzy,cold sweat,"[2340, 617, 1421, 303, 47, 1265, 1754]",1983,"(1, 0.6026198196949752)","(8, 0.082550029355946)","(10, 0.0639246146269481)","(6, 0.9659649030079815)","(2, 0.6580519447222009)","(5, 0.4105523495465788)"
40.89292407954679,24737,quiet riot,metal health (bang your head),"[1188, 2340, 617, 47, 1265, 1754]",1983,"(1, 0.4090039958770428)","(10, 0.1957006157770108)","(13, 0.0474150481493347)","(6, 0.9339318705449058)","(2, 0.7609671050944798)","(5, 0.4981450948062655)"
40.57918735057182,25194,warrant,sometimes she cries,"[1265, 1188, 2340, 47]",1989,"(14, 0.5099567194892283)","(8, 0.1766884579939461)","(3, 0.0901376711454464)","(5, 0.6506595218466611)","(2, 0.6138245775965951)","(6, 0.5235086421117456)"
40.10131727134713,26564,great white,kick start my heart,"[1188, 2340, 617, 47, 1265, 1754]",2009,"(8, 0.6370945492231798)","(1, 0.2613863387820513)","(14, 0.0328888341082351)","(6, 0.8968936767594742)","(2, 0.7329948978283721)","(5, 0.5218466611706513)"
38.95185550558935,24632,survivor,eye of the tiger,"[1265, 2511, 2340, 47]",1982,"(1, 0.3496659235422881)","(3, 0.1445475409859824)","(10, 0.1217136718256515)","(1, 0.8158778295245316)","(5, 0.544517724649629)","(2, 0.5418813937389431)"
38.45573790924981,25405,firehouse,reach for the sky,"[1265, 1188, 2340, 47]",1992,"(1, 0.3305724008136121)","(8, 0.219984453017975)","(11, 0.1805747731586262)","(6, 0.8918885154371186)","(2, 0.701843447939902)","(1, 0.5418607169933933)"
38.3799682611817,13619,blue öyster cult,baby ice dog,"[2340, 617, 303, 47, 1265, 2511, 1754, 124]",1973,"(1, 0.6848224164651974)","(8, 0.0644742644715837)","(10, 0.0491670281755028)","(2, 0.6982027023562289)","(5, 0.6908491343775762)","(6, 0.6746645140468851)"
